"customer_id","outcome"
"customer_id_32884","NO"
"customer_id_3169","NO"
"customer_id_32206","NO"
"customer_id_9403","NO"
"customer_id_14020","NO"
"customer_id_17201","NO"
"customer_id_879","NO"
"customer_id_23757","NO"
"customer_id_10821","NO"
"customer_id_14355","NO"
"customer_id_32311","NO"
"customer_id_31850","NO"
"customer_id_13595","NO"
"customer_id_21871","NO"
"customer_id_16735","NO"
"customer_id_8040","NO"
"customer_id_14064","NO"
"customer_id_17688","NO"
"customer_id_15507","NO"
"customer_id_37480","NO"
"customer_id_17267","YES"
"customer_id_1670","NO"
"customer_id_8528","NO"
"customer_id_15755","NO"
"customer_id_20770","NO"
"customer_id_36915","NO"
"customer_id_33728","NO"
"customer_id_22969","NO"
"customer_id_8925","NO"
"customer_id_144","NO"
"customer_id_36968","NO"
"customer_id_36562","NO"
"customer_id_40868","YES"
"customer_id_14050","NO"
"customer_id_10835","NO"
"customer_id_11042","NO"
"customer_id_23685","NO"
"customer_id_24425","NO"
"customer_id_8725","NO"
"customer_id_25809","NO"
"customer_id_24999","NO"
"customer_id_12662","NO"
"customer_id_41020","YES"
"customer_id_756","NO"
"customer_id_28062","NO"
"customer_id_6314","NO"
"customer_id_12357","NO"
"customer_id_12515","NO"
"customer_id_23461","NO"
"customer_id_6108","NO"
"customer_id_32668","YES"
"customer_id_38202","YES"
"customer_id_2464","NO"
"customer_id_33789","NO"
"customer_id_15983","NO"
"customer_id_12893","NO"
"customer_id_24129","NO"
"customer_id_27059","NO"
"customer_id_39196","YES"
"customer_id_29731","NO"
"customer_id_27101","NO"
"customer_id_4500","NO"
"customer_id_27190","NO"
"customer_id_3419","NO"
"customer_id_40576","YES"
"customer_id_26278","NO"
"customer_id_38246","NO"
"customer_id_1631","NO"
"customer_id_2990","NO"
"customer_id_37777","NO"
"customer_id_18428","NO"
"customer_id_26095","NO"
"customer_id_32714","NO"
"customer_id_35636","NO"
"customer_id_18183","NO"
"customer_id_216","NO"
"customer_id_13328","NO"
"customer_id_24444","NO"
"customer_id_25602","NO"
"customer_id_3445","NO"
"customer_id_33317","NO"
"customer_id_13282","NO"
"customer_id_4243","NO"
"customer_id_13926","NO"
"customer_id_3270","NO"
"customer_id_34279","NO"
"customer_id_34151","NO"
"customer_id_18143","NO"
"customer_id_26517","NO"
"customer_id_8085","NO"
"customer_id_27441","NO"
"customer_id_41031","YES"
"customer_id_25158","NO"
"customer_id_26621","NO"
"customer_id_38324","NO"
"customer_id_8231","NO"
"customer_id_28107","NO"
"customer_id_11011","NO"
"customer_id_532","NO"
"customer_id_11511","NO"
"customer_id_22236","NO"
"customer_id_36852","YES"
"customer_id_38578","NO"
"customer_id_10646","NO"
"customer_id_29822","NO"
"customer_id_16548","NO"
"customer_id_2000","NO"
"customer_id_28517","NO"
"customer_id_17075","NO"
"customer_id_6330","NO"
"customer_id_29675","NO"
"customer_id_18294","NO"
"customer_id_23558","NO"
"customer_id_7945","NO"
"customer_id_23678","NO"
"customer_id_11335","NO"
"customer_id_729","NO"
"customer_id_20940","NO"
"customer_id_4168","NO"
"customer_id_33960","NO"
"customer_id_11096","NO"
"customer_id_4009","NO"
"customer_id_22492","NO"
"customer_id_6222","NO"
"customer_id_25749","NO"
"customer_id_22363","NO"
"customer_id_15476","NO"
"customer_id_13028","NO"
"customer_id_10016","NO"
"customer_id_10098","NO"
"customer_id_29959","NO"
"customer_id_7474","NO"
"customer_id_13544","NO"
"customer_id_22979","NO"
"customer_id_13321","NO"
"customer_id_15044","NO"
"customer_id_40190","NO"
"customer_id_40819","YES"
"customer_id_6065","NO"
"customer_id_22232","NO"
"customer_id_35080","NO"
"customer_id_6912","NO"
"customer_id_857","NO"
"customer_id_35753","NO"
"customer_id_9590","NO"
"customer_id_3290","NO"
"customer_id_34533","NO"
"customer_id_22846","NO"
"customer_id_14181","NO"
"customer_id_12005","NO"
"customer_id_37977","NO"
"customer_id_4559","NO"
"customer_id_22944","NO"
"customer_id_5987","NO"
"customer_id_11806","NO"
"customer_id_6245","NO"
"customer_id_16227","NO"
"customer_id_35751","NO"
"customer_id_10089","NO"
"customer_id_29632","NO"
"customer_id_37063","NO"
"customer_id_31440","NO"
"customer_id_37493","YES"
"customer_id_23250","NO"
"customer_id_13415","NO"
"customer_id_26915","NO"
"customer_id_33666","YES"
"customer_id_25576","NO"
"customer_id_40348","NO"
"customer_id_36547","YES"
"customer_id_33718","YES"
"customer_id_39440","NO"
"customer_id_27129","NO"
"customer_id_6112","NO"
"customer_id_10329","YES"
"customer_id_4325","NO"
"customer_id_24079","NO"
"customer_id_19565","NO"
"customer_id_28924","NO"
"customer_id_2385","NO"
"customer_id_26749","NO"
"customer_id_27147","NO"
"customer_id_8278","NO"
"customer_id_20190","NO"
"customer_id_14005","NO"
"customer_id_37330","YES"
"customer_id_24135","NO"
"customer_id_2757","NO"
"customer_id_8814","NO"
"customer_id_40163","YES"
"customer_id_37795","NO"
"customer_id_26142","NO"
"customer_id_3986","NO"
"customer_id_26938","NO"
"customer_id_28909","NO"
"customer_id_9060","NO"
"customer_id_40629","NO"
"customer_id_26890","NO"
"customer_id_19651","NO"
"customer_id_9254","NO"
"customer_id_9267","NO"
"customer_id_28238","NO"
"customer_id_30626","NO"
"customer_id_25837","NO"
"customer_id_24965","NO"
"customer_id_15572","NO"
"customer_id_18917","NO"
"customer_id_7775","NO"
"customer_id_657","NO"
"customer_id_23505","NO"
"customer_id_21272","NO"
"customer_id_14240","NO"
"customer_id_24203","NO"
"customer_id_40467","YES"
"customer_id_2830","NO"
"customer_id_943","YES"
"customer_id_4215","NO"
"customer_id_30156","NO"
"customer_id_23363","NO"
"customer_id_29526","NO"
"customer_id_24387","NO"
"customer_id_14040","NO"
"customer_id_14938","NO"
"customer_id_41100","YES"
"customer_id_25361","NO"
"customer_id_26418","NO"
"customer_id_2004","NO"
"customer_id_34293","NO"
"customer_id_23422","NO"
"customer_id_37635","NO"
"customer_id_9701","NO"
"customer_id_15968","NO"
"customer_id_25441","NO"
"customer_id_6882","NO"
"customer_id_36538","NO"
"customer_id_18392","NO"
"customer_id_36152","NO"
"customer_id_28781","NO"
"customer_id_27941","YES"
"customer_id_8201","NO"
"customer_id_38615","YES"
"customer_id_29650","NO"
"customer_id_7760","NO"
"customer_id_17944","NO"
"customer_id_14422","NO"
"customer_id_25100","NO"
"customer_id_37872","NO"
"customer_id_10861","NO"
"customer_id_37234","YES"
"customer_id_5382","NO"
"customer_id_35028","NO"
"customer_id_3861","NO"
"customer_id_34644","NO"
"customer_id_39220","YES"
"customer_id_2761","NO"
"customer_id_3375","NO"
"customer_id_13270","NO"
"customer_id_10030","NO"
"customer_id_36044","NO"
"customer_id_33469","NO"
"customer_id_34181","NO"
"customer_id_23075","NO"
"customer_id_24450","NO"
"customer_id_41121","YES"
"customer_id_31199","NO"
"customer_id_40291","YES"
"customer_id_38159","YES"
"customer_id_24494","NO"
"customer_id_16954","NO"
"customer_id_24122","NO"
"customer_id_9506","NO"
"customer_id_23336","NO"
"customer_id_7915","NO"
"customer_id_37482","NO"
"customer_id_31678","NO"
"customer_id_22782","NO"
"customer_id_35220","NO"
"customer_id_34066","NO"
"customer_id_21099","NO"
"customer_id_14928","NO"
"customer_id_15638","NO"
"customer_id_38357","NO"
"customer_id_28019","NO"
"customer_id_6136","NO"
"customer_id_5907","NO"
"customer_id_39822","YES"
"customer_id_19735","NO"
"customer_id_5707","NO"
"customer_id_12169","NO"
"customer_id_11583","NO"
